Rede,Bairro,Endereço,Região,CEP,Cidade,Tipo de recarga,Tipo de Estabelecimento,Estabelecimento,Tipo de Atendimento
PLDEVICE,LUZ,PRAÇA ARMÊNIA,CENTRO,01102-040,SÃO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,TERMINAL DE ÔNIBUS,METRÔ ARMÊNIA,PÚBLICO
PLDEVICE,LUZ,"RUA EDUARDO CHAVES, 68",CENTRO,01109-060,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BOMBONIERE,DOCERIA CAPELINHA,PÚBLICO
PLDEVICE,PARQUE DOM PEDRO II,"AV. DO EXTERIOR, S/N",CENTRO,01022-050,SÃO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,TERMINAL DE ÔNIBUS,TERMINAL PQ DOM PEDRO,PÚBLICO
PLDEVICE,PQ IND TOMAS EDISON,"PRAÇA PASCOAL MARTINS, 36, EM FRENTE",CENTRO,01139-060,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA CONECT,PÚBLICO
PLDEVICE,PQ INDUSTRIAL TOMAS,"RUA ROBERT BOSCH, 295",CENTRO,01141-010,SÃO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,EMPRESA,CONCENTRIX BRASIL BARRA FUNDA,PRIVADO
PLDEVICE,PQ INDUSTRIAL TOMAS,"RUA INOCENCIO TOBIAS, 185, LT 9, QD 9",CENTRO,01144-000,SÃO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,EMPRESA,CONCENTRIX BRASIL BARRA FUNDA,PRIVADO
PLDEVICE,PQ INDUSTRIAL TOMAS,"RUA ACHILLES ORLANDO CURTOLO, 429",CENTRO,01144-010,SÃO PAULO,VALE TRANSPORTE-LISTA WEB-PASSE LIVRE ESTUDANTE,EMPRESA,CONCENTRIX BRASIL BARRA FUNDA,PRIVADO
PLDEVICE,REPUBLICA,"AV. SÃO JOÃO, 729, EM FRENTE",CENTRO,01035-100,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA  RC,PÚBLICO
PLDEVICE,REPUBLICA,"AV. IPIRANGA, 727",CENTRO,01039-000,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA KADU,PÚBLICO
PLDEVICE,REPUBLICA,"AV. IPIRANGA, 882",CENTRO,01040-000,SÃO PAULO,COMUM-ESCOLAR-VALE TRANSPORTE-FIDELIDADE-LAZER-MENSAL-DIÁRIO-LISTA WEB-PASSE LIVRE ESTUDANT,BANCA DE JORNAL,BANCA DO GAUCHO,PÚBLICO
